SalesOrderNumber,OrderDate,ProductKey,SalesTerritoryKey,OrderQuantity,UnitPrice,SalesAmount,TotalProductCost
SO43697,2010-12-29 00:00:00.000,310,6,1,3578.27,3578.27,2171.2942
SO43698,2010-12-29 00:00:00.000,346,7,1,3399.99,3399.99,1912.1544
SO43699,2010-12-29 00:00:00.000,346,1,1,3399.99,3399.99,1912.1544
SO43700,2010-12-29 00:00:00.000,336,4,1,699.0982,699.0982,413.1463
SO43701,2010-12-29 00:00:00.000,346,9,1,3399.99,3399.99,1912.1544
SO43702,2010-12-30 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO43703,2010-12-30 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43704,2010-12-30 00:00:00.000,351,9,1,3374.99,3374.99,1898.0944
SO43705,2010-12-30 00:00:00.000,344,9,1,3399.99,3399.99,1912.1544
SO43706,2010-12-31 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43707,2010-12-31 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43708,2010-12-31 00:00:00.000,330,10,1,699.0982,699.0982,413.1463
SO43709,2010-12-31 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43710,2010-12-31 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43711,2011-01-01 00:00:00.000,314,1,1,3578.27,3578.27,2171.2942
SO43712,2011-01-01 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO43713,2011-01-02 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43714,2011-01-02 00:00:00.000,311,10,1,3578.27,3578.27,2171.2942
SO43715,2011-01-02 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43716,2011-01-02 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43717,2011-01-02 00:00:00.000,336,9,1,699.0982,699.0982,413.1463
SO43718,2011-01-03 00:00:00.000,311,1,1,3578.27,3578.27,2171.2942
SO43719,2011-01-03 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43720,2011-01-03 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO43721,2011-01-03 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO43722,2011-01-04 00:00:00.000,312,10,1,3578.27,3578.27,2171.2942
SO43723,2011-01-04 00:00:00.000,332,1,1,699.0982,699.0982,413.1463
SO43724,2011-01-04 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43725,2011-01-05 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO43726,2011-01-05 00:00:00.000,332,4,1,699.0982,699.0982,413.1463
SO43727,2011-01-05 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43728,2011-01-06 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO43729,2011-01-06 00:00:00.000,346,10,1,3399.99,3399.99,1912.1544
SO43730,2011-01-06 00:00:00.000,346,4,1,3399.99,3399.99,1912.1544
SO43731,2011-01-06 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43732,2011-01-06 00:00:00.000,350,9,1,3374.99,3374.99,1898.0944
SO43733,2011-01-06 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO43734,2011-01-07 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO43735,2011-01-07 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43736,2011-01-07 00:00:00.000,346,9,1,3399.99,3399.99,1912.1544
SO43737,2011-01-08 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO43738,2011-01-08 00:00:00.000,312,7,1,3578.27,3578.27,2171.2942
SO43739,2011-01-08 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO43740,2011-01-08 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43741,2011-01-09 00:00:00.000,310,1,1,3578.27,3578.27,2171.2942
SO43742,2011-01-09 00:00:00.000,314,10,1,3578.27,3578.27,2171.2942
SO43743,2011-01-09 00:00:00.000,347,9,1,3399.99,3399.99,1912.1544
SO43744,2011-01-09 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43745,2011-01-10 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43746,2011-01-10 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43747,2011-01-11 00:00:00.000,314,4,1,3578.27,3578.27,2171.2942
SO43748,2011-01-11 00:00:00.000,313,1,1,3578.27,3578.27,2171.2942
SO43749,2011-01-11 00:00:00.000,314,1,1,3578.27,3578.27,2171.2942
SO43750,2011-01-11 00:00:00.000,311,7,1,3578.27,3578.27,2171.2942
SO43751,2011-01-11 00:00:00.000,313,7,1,3578.27,3578.27,2171.2942
SO43752,2011-01-11 00:00:00.000,311,8,1,3578.27,3578.27,2171.2942
SO43753,2011-01-11 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43754,2011-01-12 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO43755,2011-01-12 00:00:00.000,311,4,1,3578.27,3578.27,2171.2942
SO43756,2011-01-12 00:00:00.000,332,10,1,699.0982,699.0982,413.1463
SO43757,2011-01-12 00:00:00.000,350,9,1,3374.99,3374.99,1898.0944
SO43758,2011-01-13 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43759,2011-01-13 00:00:00.000,310,8,1,3578.27,3578.27,2171.2942
SO43760,2011-01-13 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43761,2011-01-13 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43762,2011-01-14 00:00:00.000,314,4,1,3578.27,3578.27,2171.2942
SO43763,2011-01-14 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43764,2011-01-14 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43765,2011-01-14 00:00:00.000,346,9,1,3399.99,3399.99,1912.1544
SO43766,2011-01-15 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43767,2011-01-15 00:00:00.000,350,9,1,3374.99,3374.99,1898.0944
SO43768,2011-01-16 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO43769,2011-01-16 00:00:00.000,312,6,1,3578.27,3578.27,2171.2942
SO43770,2011-01-16 00:00:00.000,312,1,1,3578.27,3578.27,2171.2942
SO43771,2011-01-16 00:00:00.000,330,4,1,699.0982,699.0982,413.1463
SO43772,2011-01-16 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43773,2011-01-16 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43774,2011-01-16 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43775,2011-01-16 00:00:00.000,347,9,1,3399.99,3399.99,1912.1544
SO43776,2011-01-17 00:00:00.000,314,8,1,3578.27,3578.27,2171.2942
SO43777,2011-01-17 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43778,2011-01-17 00:00:00.000,345,9,1,3399.99,3399.99,1912.1544
SO43779,2011-01-17 00:00:00.000,326,9,1,699.0982,699.0982,413.1463
SO43780,2011-01-18 00:00:00.000,311,7,1,3578.27,3578.27,2171.2942
SO43781,2011-01-18 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43782,2011-01-18 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43783,2011-01-18 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43784,2011-01-19 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43785,2011-01-19 00:00:00.000,311,7,1,3578.27,3578.27,2171.2942
SO43786,2011-01-19 00:00:00.000,311,7,1,3578.27,3578.27,2171.2942
SO43787,2011-01-19 00:00:00.000,344,8,1,3399.99,3399.99,1912.1544
SO43788,2011-01-19 00:00:00.000,351,10,1,3374.99,3374.99,1898.0944
SO43789,2011-01-19 00:00:00.000,351,1,1,3374.99,3374.99,1898.0944
SO43790,2011-01-19 00:00:00.000,344,1,1,3399.99,3399.99,1912.1544
SO43791,2011-01-19 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43792,2011-01-19 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43793,2011-01-19 00:00:00.000,344,9,1,3399.99,3399.99,1912.1544
SO43794,2011-01-19 00:00:00.000,347,9,1,3399.99,3399.99,1912.1544
SO43795,2011-01-20 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43796,2011-01-20 00:00:00.000,342,7,1,699.0982,699.0982,413.1463
SO43797,2011-01-20 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43798,2011-01-20 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43799,2011-01-20 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43800,2011-01-21 00:00:00.000,311,6,1,3578.27,3578.27,2171.2942
SO43801,2011-01-21 00:00:00.000,311,10,1,3578.27,3578.27,2171.2942
SO43802,2011-01-21 00:00:00.000,312,7,1,3578.27,3578.27,2171.2942
SO43803,2011-01-22 00:00:00.000,314,6,1,3578.27,3578.27,2171.2942
SO43804,2011-01-22 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO43805,2011-01-22 00:00:00.000,328,1,1,699.0982,699.0982,413.1463
SO43806,2011-01-22 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43807,2011-01-23 00:00:00.000,312,7,1,3578.27,3578.27,2171.2942
SO43808,2011-01-23 00:00:00.000,313,8,1,3578.27,3578.27,2171.2942
SO43809,2011-01-23 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43810,2011-01-23 00:00:00.000,345,9,1,3399.99,3399.99,1912.1544
SO43811,2011-01-23 00:00:00.000,346,9,1,3399.99,3399.99,1912.1544
SO43812,2011-01-24 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43813,2011-01-24 00:00:00.000,350,7,1,3374.99,3374.99,1898.0944
SO43814,2011-01-24 00:00:00.000,350,1,1,3374.99,3374.99,1898.0944
SO43815,2011-01-24 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43816,2011-01-24 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43817,2011-01-24 00:00:00.000,310,9,1,3578.27,3578.27,2171.2942
SO43818,2011-01-24 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43819,2011-01-24 00:00:00.000,346,9,1,3399.99,3399.99,1912.1544
SO43820,2011-01-25 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43821,2011-01-25 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43822,2011-01-25 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO43823,2011-01-25 00:00:00.000,342,10,1,699.0982,699.0982,413.1463
SO43824,2011-01-25 00:00:00.000,338,1,1,699.0982,699.0982,413.1463
SO43825,2011-01-25 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43826,2011-01-25 00:00:00.000,348,9,1,3374.99,3374.99,1898.0944
SO43827,2011-01-25 00:00:00.000,338,9,1,699.0982,699.0982,413.1463
SO43828,2011-01-26 00:00:00.000,310,1,1,3578.27,3578.27,2171.2942
SO43829,2011-01-26 00:00:00.000,310,4,1,3578.27,3578.27,2171.2942
SO43830,2011-01-26 00:00:00.000,311,9,1,3578.27,3578.27,2171.2942
SO43831,2011-01-26 00:00:00.000,349,9,1,3374.99,3374.99,1898.0944
SO43832,2011-01-26 00:00:00.000,310,10,1,3578.27,3578.27,2171.2942
SO43833,2011-01-27 00:00:00.000,310,6,1,3578.27,3578.27,2171.2942
SO43834,2011-01-27 00:00:00.000,348,7,1,3374.99,3374.99,1898.0944
SO43835,2011-01-27 00:00:00.000,348,6,1,3374.99,3374.99,1898.0944
SO43836,2011-01-27 00:00:00.000,324,6,1,699.0982,699.0982,413.1463
SO43837,2011-01-27 00:00:00.000,350,9,1,3374.99,3374.99,1898.0944
SO43838,2011-01-28 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO43839,2011-01-28 00:00:00.000,311,1,1,3578.27,3578.27,2171.2942
SO43840,2011-01-28 00:00:00.000,326,7,1,699.0982,699.0982,413.1463
SO43841,2011-01-28 00:00:00.000,314,8,1,3578.27,3578.27,2171.2942
SO43842,2011-01-28 00:00:00.000,312,9,1,3578.27,3578.27,2171.2942
SO43918,2011-01-29 00:00:00.000,313,6,1,3578.27,3578.27,2171.2942
SO43919,2011-01-29 00:00:00.000,314,7,1,3578.27,3578.27,2171.2942
SO43920,2011-01-29 00:00:00.000,313,4,1,3578.27,3578.27,2171.2942
SO43921,2011-01-29 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43922,2011-01-29 00:00:00.000,310,8,1,3578.27,3578.27,2171.2942
SO43923,2011-01-30 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43924,2011-01-30 00:00:00.000,310,7,1,3578.27,3578.27,2171.2942
SO43925,2011-01-30 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43926,2011-01-31 00:00:00.000,351,9,1,3374.99,3374.99,1898.0944
SO43927,2011-01-31 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
SO43928,2011-01-31 00:00:00.000,313,9,1,3578.27,3578.27,2171.2942
SO43929,2011-01-31 00:00:00.000,322,9,1,699.0982,699.0982,413.1463
SO43930,2011-02-01 00:00:00.000,312,4,1,3578.27,3578.27,2171.2942
SO43931,2011-02-01 00:00:00.000,313,8,1,3578.27,3578.27,2171.2942
SO43932,2011-02-01 00:00:00.000,314,9,1,3578.27,3578.27,2171.2942
